NAME,CODE,NAV,INFO
MFS全盛美國密集成長基金,https://announce.fundclear.com.tw/MOPSFundWeb/main1.jsp?fundId=MUSSIU1,https://announce.fundclear.com.tw/MOPSFundWeb/A01_11.jsp?fundId=MUSSIU1,https://www.moneydj.com/funddj/ya/yp010001.djhtm?a=mfz55
美盛西方資產全球多重策略基金優類股美元累積型,https://announce.fundclear.com.tw/MOPSFundWeb/main1.jsp?fundId=IE00B23Z7X77,https://announce.fundclear.com.tw/MOPSFundWeb/A01_11.jsp?fundId=IE00B23Z7X77,https://www.moneydj.com/funddj/ya/yp010001.djhtm?a=WEA51
 MFS全盛歐洲研究基金 I1(歐元),https://announce.fundclear.com.tw/MOPSFundWeb/main1.jsp?fundId=MFEEIE1,https://announce.fundclear.com.tw/MOPSFundWeb/A01_11.jsp?fundId=MFEEIE1,https://www.moneydj.com/funddj/ya/yp010001.djhtm?a=mfz75
景順日本股票優勢基金C股 日圓,https://announce.fundclear.com.tw/MOPSFundWeb/main1.jsp?fundId=2102CC,https://announce.fundclear.com.tw/MOPSFundWeb/A01_11.jsp?fundId=2102CC,https://www.moneydj.com/funddj/ya/yp010001.djhtm?a=CTZB7
普信美國大型成長股票型基金 A 美元,https://announce.fundclear.com.tw/MOPSFundWeb/main1.jsp?fundId=TROWSE006AUSD,https://announce.fundclear.com.tw/MOPSFundWeb/A01_11.jsp?fundId=TROWSE006AUSD,https://www.moneydj.com/funddj/ya/yp010001.djhtm?a=MAR17
普信全球高收益債券型基金 A 美元,https://announce.fundclear.com.tw/MOPSFundWeb/main1.jsp?fundId=TROWSB005AUSD,https://announce.fundclear.com.tw/MOPSFundWeb/A01_11.jsp?fundId=TROWSB005AUSD,https://www.moneydj.com/funddj/ya/yp010001.djhtm?a=mar11
普信美國大型成長-I,https://announce.fundclear.com.tw/MOPSFundWeb/main1.jsp?fundId=TROWSE006IUSD,https://announce.fundclear.com.tw/MOPSFundWeb/A01_11.jsp?fundId=TROWSE006IUSD,https://www.moneydj.com/funddj/ya/yp010001.djhtm?a=MAR17
普信亞洲(除日本)股票型基金I(美元),https://announce.fundclear.com.tw/MOPSFundWeb/main1.jsp?fundId=TROWSE001IUSD,https://announce.fundclear.com.tw/MOPSFundWeb/A01_11.jsp?fundId=TROWSE001IUSD,https://www.moneydj.com/funddj/ya/yp010001.djhtm?a=mar01
資本集團全球機會高收益債券基金(盧森堡) B,https://announce.fundclear.com.tw/MOPSFundWeb/main1.jsp?fundId=CIFGHIO,https://announce.fundclear.com.tw/MOPSFundWeb/A01_11.jsp?fundId=CIFGHIO,https://www.moneydj.com/funddj/ya/yp010001.djhtm?a=cif08
普信全球高收益債券型基金I(美元),https://announce.fundclear.com.tw/MOPSFundWeb/main1.jsp?fundId=TROWSB005IUSD,https://announce.fundclear.com.tw/MOPSFundWeb/A01_11.jsp?fundId=TROWSB005IUSD,https://www.moneydj.com/funddj/ya/yp010001.djhtm?a=mar11
PIMCO全球債券(美國除外)基金-機構H級類別(累積股份),https://announce.fundclear.com.tw/MOPSFundWeb/main1.jsp?fundId=IE00BGSXSR58,https://announce.fundclear.com.tw/MOPSFundWeb/A01_11.jsp?fundId=IE00BGSXSR58,https://www.moneydj.com/funddj/ya/yp010001.djhtm?a=PIM61
聯博-美國永續主題基金I股美元,https://announce.fundclear.com.tw/MOPSFundWeb/main1.jsp?fundId=ABUSTRIUSD,https://announce.fundclear.com.tw/MOPSFundWeb/A01_11.jsp?fundId=ABUSTRIUSD,https://www.moneydj.com/funddj/ya/yp010001.djhtm?a=ALB06
安本標準 - 亞太股票基金 I 累積 美元,https://announce.fundclear.com.tw/MOPSFundWeb/main1.jsp?fundId=AEASEI,https://announce.fundclear.com.tw/MOPSFundWeb/A01_11.jsp?fundId=AEASEI,https://www.moneydj.com/funddj/ya/yp010001.djhtm?a=anz07
 資本集團全球債券基金(盧森堡) B (美元),https://announce.fundclear.com.tw/MOPSFundWeb/main1.jsp?fundId=CIFGBFUSD,https://announce.fundclear.com.tw/MOPSFundWeb/A01_11.jsp?fundId=CIFGBFUSD,https://www.moneydj.com/funddj/ya/yp010001.djhtm?a=cif05
施羅德環球基金系列-環球高收益基金 C 累積,https://announce.fundclear.com.tw/MOPSFundWeb/main1.jsp?fundId=IGHYF,https://announce.fundclear.com.tw/MOPSFundWeb/A01_11.jsp?fundId=IGHYF,https://www.moneydj.com/funddj/ya/yp010001.djhtm?a=pyzi3
